2025-11-21 00:50:00;SYSTEM;GAME_START;ALL_WILD;Players: 4
2025-11-21 00:51:04;Giocatore 1;CHOOSEN_PLAYER;N/A;IA-3
2025-11-21 00:51:09;IA-1;PLAY;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:51:13;Giocatore 1;PLAY;DoubleSidedCard;WILD_TARGETED_DRAW_TWO
2025-11-21 00:51:14;Giocatore 1;CHOOSEN_PLAYER;N/A;Giocatore 1
2025-11-21 00:51:14;Giocatore 1;DRAW;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:51:14;Giocatore 1;DRAW;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:51:19;IA-3;PLAY;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:51:19;IA-3;CHOOSEN_PLAYER;N/A;IA-2
2025-11-21 00:51:24;IA-2;PLAY;DoubleSidedCard;WILD_FORCED_SWAP
2025-11-21 00:51:24;IA-2;CHOOSEN_PLAYER;N/A;IA-3
2025-11-21 00:51:29;IA-1;PLAY;DoubleSidedCard;WILD_DRAW_TWO_ALLWILD
2025-11-21 00:51:29;Giocatore 1;DRAW;DoubleSidedCard;WILD_DRAW_FOUR_ALLWILD
2025-11-21 00:51:29;Giocatore 1;DRAW;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:51:34;IA-3;PLAY;DoubleSidedCard;WILD_SKIP_TWO
2025-11-21 00:51:41;Giocatore 1;PLAY;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:51:46;IA-1;PLAY;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:51:51;IA-2;PLAY;DoubleSidedCard;WILD_ALLWILD
2025-11-21 00:51:51;IA-2;CALL_UNO_SUCCESS;N/A;HandSize: 1
2025-11-21 00:51:56;IA-3;PLAY;DoubleSidedCard;WILD_REVERSE
2025-11-21 00:52:02;IA-2;PLAY;DoubleSidedCard;WILD_SKIP
2025-11-21 00:52:02;SYSTEM;GAME_OVER;N/A;Winner: IA-2
